PARENT_ID,SD_NAME
15051034,AMERISOURCE
15075406,MCKESSON
15158699,-
15196946,AMERISOURCE
15781241,MCKESSON
15784048,AMERISOURCE
15790303,AMERISOURCE
15792099,-
15792372,AMERISOURCE
15792529,AMERISOURCE
15795469,MCKESSON
15797442,AMERISOURCE
15798877,-
15816145,-
15816473,-
15822971,AMERISOURCE
15823477,CARDINAL
15824081,-
15827527,MCKESSON
15829111,MCKESSON
15833506,-
15834366,AMERISOURCE
15836051,MCKESSON
15837366,AMERISOURCE
15838865,CARDINAL
15838975,-
15839949,-
15842135,-
15844556,CARDINAL
15845736,AMERISOURCE
15845971,CARDINAL
15849215,CARDINAL
15852132,-
15860501,CARDINAL
15860667,MCKESSON
15863162,AMERISOURCE
15870130,-
15870626,-
15870739,-
15873459,AMERISOURCE
15873586,-
15876667,AMERISOURCE
15881198,CARDINAL
15888579,MCKESSON
15891224,MCKESSON
15891542,AMERISOURCE
15892271,MCKESSON
15892564,CARDINAL
15896698,-
15898876,CARDINAL
15899143,AMERISOURCE
15899173,AMERISOURCE
15903811,AMERISOURCE
15904805,-
15905881,-
15906480,MCKESSON
15910380,-
15910614,MCKESSON
15915950,CARDINAL
15922391,MCKESSON
15928264,-
15928762,MCKESSON
15932752,-
15938979,-
15940802,-
15941568,MCKESSON
15949780,CARDINAL
15952816,MCKESSON
15955809,-
15956679,MCKESSON
15961473,AMERISOURCE
15967994,CARDINAL
15970415,-
15974113,MCKESSON
15974812,AMERISOURCE
15975113,-
15977501,MCKESSON
15981637,CARDINAL
15982893,-
15984209,-
15984647,CARDINAL
15985337,MCKESSON
15988053,-
15989028,-
15990762,MCKESSON
15994579,-
16000252,CARDINAL
16003889,MCKESSON
16006079,CARDINAL
16006777,-
16007679,-
16011202,-
16018640,CARDINAL
16021799,MCKESSON
16023328,CARDINAL
16027200,MCKESSON
16028797,-
16028983,AMERISOURCE
16030050,AMERISOURCE
16030350,AMERISOURCE
16031358,-
16034244,AMERISOURCE
16037168,MCKESSON
16040414,MCKESSON
16046042,AMERISOURCE
16048384,-
16052708,-
16053741,MCKESSON
16055100,-
16062989,-
16066043,AMERISOURCE
16066486,MCKESSON
16066854,CARDINAL
16069566,-
16073793,MCKESSON
16081118,MCKESSON
16082088,-
16084839,MCKESSON
16087032,AMERISOURCE
16088225,MCKESSON
16090435,-
16092174,MCKESSON
16095537,MCKESSON
16109890,MCKESSON
16115773,-
16132772,MCKESSON
16133649,MCKESSON
16135711,-
16141351,-
16143555,AMERISOURCE
16149626,MCKESSON
16149985,MCKESSON
16151908,-
16152828,MCKESSON
16159967,-
16162789,MCKESSON
16163350,MCKESSON
16166822,-
16168359,MCKESSON
16169457,-
16170335,AMERISOURCE
16170639,CARDINAL
16171277,-
16171752,AMERISOURCE
16176543,MCKESSON
16177602,MCKESSON
16178654,AMERISOURCE
16179509,MCKESSON
16180496,CARDINAL
16181304,AMERISOURCE
16186325,AMERISOURCE
16189059,AMERISOURCE
16196013,-
16197319,-
16198989,MCKESSON
16200500,MCKESSON
16203603,-
16204825,-
16208601,CARDINAL
16211425,-
16213364,-
16213711,-
16217469,-
16221717,-
16222684,CARDINAL
16226567,-
16228229,-
16230499,MCKESSON
16230647,-
16231328,MCKESSON
16231372,MCKESSON
16231986,AMERISOURCE
16234451,AMERISOURCE
16241615,CARDINAL
16245501,MCKESSON
16247752,-
16250374,MCKESSON
16250940,-
16256036,AMERISOURCE
16256609,AMERISOURCE
16258998,MCKESSON
16260673,-
16260908,MCKESSON
16261253,AMERISOURCE
16261305,-
16262482,MCKESSON
16266820,AMERISOURCE
16269742,MCKESSON
16270655,MCKESSON
16271920,-
16273420,CARDINAL
16273610,AMERISOURCE
16278256,MCKESSON
16279092,AMERISOURCE
16280982,MCKESSON
16282136,-
16283851,MCKESSON
16285884,CARDINAL
16290655,MCKESSON
16293820,CARDINAL
16293882,MCKESSON
16294971,-
16301977,AMERISOURCE
16303692,AMERISOURCE
16304985,AMERISOURCE
16317219,MCKESSON
16317445,-
16324334,MCKESSON
16325757,CARDINAL
16326032,AMERISOURCE
16328446,MCKESSON
16435986,-
17324870,-
17338979,-
17340446,-
20400623,MCKESSON
22085876,MCKESSON
23302355,AMERISOURCE
23318461,-
23899996,-
23900657,-
23900854,-
23900885,AMERISOURCE
23900984,AMERISOURCE
23901119,-
23901245,-
23901265,AMERISOURCE
23901383,-
23901560,-
23901923,AMERISOURCE
23903370,MCKESSON
23903457,AMERISOURCE
23904201,-
23923941,-
23928997,CARDINAL
24212590,-
24212591,-
24388389,-
24454840,AMERISOURCE
25341654,AMERISOURCE
25636414,MCKESSON
28012702,MCKESSON
28175331,MCKESSON
29198239,-
52887117,CARDINAL
53028072,AMERISOURCE
73210328,-
73213717,AMERISOURCE
73213761,MCKESSON
73214609,AMERISOURCE
73214631,-
73214634,-
73214689,AMERISOURCE
73215525,MCKESSON
73215540,-
73215545,AMERISOURCE
73216188,CARDINAL
73216209,-
76480476,-
77028307,-
77501015,-
77501730,-
77502258,AMERISOURCE
77682299,-
78718492,MCKESSON
81929766,-
82876601,-
82876879,-
82877009,-
82877133,AMERISOURCE
82877173,-
83059287,-
83631872,-
84117232,-
84578435,MCKESSON
86504898,AMERISOURCE
86759340,CARDINAL
109084782,AMERISOURCE
109528578,-
109708176,CARDINAL
109779349,-
117153149,AMERISOURCE
118281009,-
119885945,-
119886087,-
122715371,CARDINAL
122715557,MCKESSON
122715565,AMERISOURCE
122715566,CARDINAL
122715568,CARDINAL
122715730,MCKESSON
122715833,MCKESSON
122715858,CARDINAL
122715860,AMERISOURCE
122715872,CARDINAL
122715996,-
122716014,AMERISOURCE
122716022,-
122716119,MCKESSON
122716125,CARDINAL
122716140,-
122716158,MCKESSON
122716168,MCKESSON
122752531,CARDINAL
122752532,AMERISOURCE
122768141,MCKESSON
122785454,AMERISOURCE
122786873,MCKESSON
122787366,MCKESSON
122787367,AMERISOURCE
122787371,-
122789523,-
122964221,MCKESSON
122999018,AMERISOURCE
122999729,MCKESSON
123039581,CARDINAL
123042442,AMERISOURCE
123058561,MCKESSON
123059451,-
123060869,-
123062100,-
123081737,-
123098896,MCKESSON
123136637,MCKESSON
123174729,-
123175655,CARDINAL
123181330,AMERISOURCE
123185759,-
123258980,-
123262787,-
123272646,AMERISOURCE
123272942,AMERISOURCE
123430690,AMERISOURCE
123430693,CARDINAL
123432007,-
123434179,AMERISOURCE
127802947,AMERISOURCE
128462751,-
128844702,CARDINAL
128961772,MCKESSON
129028265,AMERISOURCE
129118369,CARDINAL
129314589,AMERISOURCE
129314983,MCKESSON
129315718,-
129446532,AMERISOURCE
129602560,AMERISOURCE
129627065,MCKESSON
129653956,-
129654126,-
1000878736,-
1001057556,CARDINAL
1001145965,-
1001272934,AMERISOURCE
1001272979,MCKESSON
1001443293,-
1001459440,-
1002058264,-
1002658955,AMERISOURCE
1002669476,-
1002786994,-
1002838759,-
1002942543,-
1002977647,AMERISOURCE
1003266908,CARDINAL
1003488631,CARDINAL
